001  0 1 , 1 3 , 2 1 , 0 2 , 2 3 , 1 1 , 3 2 , 2 0 , 1 2 , 3 1 , 1 0 , 2 2 , 0 1 
002  0 1 , 2 2 , 1 0 , 0 2 , 2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 
003  0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 , 1 3 , 0 1 
004  0 1 , 2 0 , 1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 , 2 1 , 0 2 , 1 0 , 2 2 , 0 1 
005  0 2 , 2 3 , 1 1 , 3 2 , 2 0 , 1 2 , 3 1 , 1 0 , 2 2 , 0 1 , 1 3 , 2 1 , 0 2 
006  0 2 , 1 0 , 2 2 , 0 1 , 2 0 , 1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 , 2 1 , 0 2 
007  0 2 , 2 1 , 1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 
008  0 2 , 2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 , 2 2 , 1 0 , 0 2 
009  1 0 , 2 2 , 0 1 , 1 3 , 2 1 , 0 2 , 2 3 , 1 1 , 3 2 , 2 0 , 1 2 , 3 1 , 1 0 
010  1 0 , 2 2 , 0 1 , 2 0 , 1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 , 2 1 , 0 2 , 1 0 
011  1 0 , 0 2 , 2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 , 2 2 , 1 0 
012  1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 , 1 3 , 0 1 , 2 2 , 1 0 
013  1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 , 2 2 , 1 0 , 0 2 , 2 1 , 1 3 , 3 2 , 1 1 
014  1 1 , 2 3 , 0 2 , 2 1 , 1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 
015  1 1 , 3 2 , 1 3 , 2 1 , 0 2 , 1 0 , 2 2 , 0 1 , 2 0 , 1 2 , 3 1 , 2 3 , 1 1 
016  1 1 , 3 2 , 2 0 , 1 2 , 3 1 , 1 0 , 2 2 , 0 1 , 1 3 , 2 1 , 0 2 , 2 3 , 1 1 
017  1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 , 1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 
018  1 2 , 2 0 , 0 1 , 2 2 , 1 0 , 0 2 , 2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 
019  1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 , 2 1 , 0 2 , 1 0 , 2 2 , 0 1 , 2 0 , 1 2 
020  1 2 , 3 1 , 1 0 , 2 2 , 0 1 , 1 3 , 2 1 , 0 2 , 2 3 , 1 1 , 3 2 , 2 0 , 1 2 
021  1 3 , 2 1 , 0 2 , 2 3 , 1 1 , 3 2 , 2 0 , 1 2 , 3 1 , 1 0 , 2 2 , 0 1 , 1 3 
022  1 3 , 2 1 , 0 2 , 1 0 , 2 2 , 0 1 , 2 0 , 1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 
023  1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 , 1 3 
024  1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 , 2 2 , 1 0 , 0 2 , 2 1 , 1 3 
025  2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 , 1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 
026  2 0 , 1 2 , 3 1 , 2 3 , 1 1 , 3 2 , 1 3 , 2 1 , 0 2 , 1 0 , 2 2 , 0 1 , 2 0 
027  2 0 , 1 2 , 3 1 , 1 0 , 2 2 , 0 1 , 1 3 , 2 1 , 0 2 , 2 3 , 1 1 , 3 2 , 2 0 
028  2 0 , 0 1 , 2 2 , 1 0 , 0 2 , 2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 
029  2 1 , 1 3 , 0 1 , 2 2 , 1 0 , 3 1 , 1 2 , 2 0 , 3 2 , 1 1 , 2 3 , 0 2 , 2 1 
030  2 1 , 1 3 , 3 2 , 1 1 , 2 3 , 3 1 , 1 2 , 2 0 , 0 1 , 2 2 , 1 0 , 0 2 , 2 1 
